,Data,ClienteID,FuncionarioID,ValorFrete,CupomID,EmpresaFrete,DataEntrega,Cliente,Cidade,Pais,Regiao,CEP,Extensao,NomeFuncionario,Genero,DataAdmissao,Escritorio,Supervisor,Cargo,SalarioAnual,MetaVendas,ProdutoID,Quantidade,Valor,Desconto,Custo,ValorLiquido,CategoriaID,Produto,FornecedorID,Categoria,Departamento,Descricao,Fornecedor,FornecedorPais,diaVenda,mesVenda,anoVenda,diaSemanaVenda,prazoEntrega,totalProduto,estacao
0,2018-03-22,78,11,"12,45",11081,Freight Express,2018-04-05,TTT-The Ticky Tie,Butte,USA,North America,59801.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,75,150,"1163,25","105,75","943,7781","219,4719",1,Bow tie,12,Mens Clothes,Clothing,Fashion for Men,Austerlich,Germany,22,3,2018,Thursday,14,"32815,035",outono
1,2017-07-02,80,11,"20,53",10982,Freight Express,2017-07-04,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,43,9,"102,33","0,0","90,2551","12,0749",4,Summer Shorts,20,Bath Clothes,Clothing,Beachwear,Asin Fashion Ltd Co,Singapore,2,7,2017,Sunday,2,"108,6741",inverno
2,2017-07-02,80,11,"20,53",10982,Freight Express,2017-07-04,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,7,20,"746,4","0,0","698,4566","47,9434",7,Conserve Shoes,3,Childrens wear,Clothing,3-15 Years,Dressed for Succes,USA,2,7,2017,Sunday,2,"958,8679999999999",inverno
3,2015-01-11,80,11,"22,95",10276,Freight Express,2015-01-19,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,10,15,"103,8","0,0","89,6832","14,1168",8,Sapporoo Gloves,4,Babywear,Clothing,0-3 Years,Nitsuchiba,Japan,11,1,2015,Sunday,8,"211,75199999999998",verão
4,2015-01-11,80,11,"22,95",10276,Freight Express,2015-01-19,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,13,10,"274,5","0,0","237,168","37,332",8,Aino Shoes,6,Babywear,Clothing,0-3 Years,SatSUMAs,Japan,11,1,2015,Sunday,8,"373,32",verão
5,2017-06-01,80,11,"24,52",10915,Freight Express,2017-06-15,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,17,10,"274,5","0,0","242,109","32,391",6,TieBreak Tennis shoes,7,Mens Footwear,Shoes,Men Shoes,New Balls,Australia,1,6,2017,Thursday,14,"323,90999999999997",outono
6,2017-06-01,80,11,"24,52",10915,Freight Express,2017-06-15,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,33,30,"788,1","0,0","695,1042","92,9958",3,Car Boots,15,Sportwear,Clothing,Clothing for Active Adults,Bar Åkeri,Norway,1,6,2017,Thursday,14,"2789,8740000000003",outono
7,2017-06-01,80,11,"24,52",10915,Freight Express,2017-06-15,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,54,10,"370,8","0,0","327,0456","43,7544",3,Patamonia Fleece Jacket,25,Sportwear,Clothing,Clothing for Active Adults,Mountain International,Canada,1,6,2017,Thursday,14,"437,544",outono
8,2015-10-30,80,11,"27,16",10518,Freight Express,2015-10-31,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,24,5,"21,65","0,0","17,9262","3,7238",1,Samba Socker  Socks,10,Mens Clothes,Clothing,Fashion for Men,Samba,Brazil,30,10,2015,Friday,1,"18,619",primavera
9,2015-10-30,80,11,"27,16",10518,Freight Express,2015-10-31,Don Balón,Mexico City,Mexico,North America,5033.0,501.0,Rock Rollman,M,2012-10-01,5,Fletcher G. Mason,Sales Representative,135000,300000.0,38,15,"1150,35","0,0","952,4898","197,8602",2,Le Baby Dress,18,Womens wear,Clothing,Fashion for Women,Like Paradis,France,30,10,2015,Friday,1,"2967,903",primavera
